Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
Adj,ADJ,adjective
Agr,none,agreement marker
Antc,none,anticipatory
Appl,APPL,applicative
AUX,AUX,auxiliary
Ben,BEN,benefactive
Caus,CAUS,causative
Cl,none,class marker
Comp,COMP,complementizer
Cond,COND,conditional
Conn,none,connective
Dem,DEM,demonstrative
Der,none,derivational affix
dist,DIST,distal demonstrative
Distr,DISTR,distributive
Emp,,(unclear)
EMP,,(unclear)
Emph,none,emphasis
excl,EXCL ,exclusive
Foc,FOC,focus
Fut,FUT,future
Ger,none,gerund
Hab,none,habital
Imp,IMP,imperative
Inact,none,inactual tense
incl,INCL,inclusive
Int,none,interjection
Irr,IRR,irrealis
itr.,INTR,intransitive
Loc,LOC,locative
Mod,none,modal particle
NC,none,noun class
Neg,NEG,negation
Obj,OBJ,object
Pass,PASS,passive
Perf,PRF,perfective
Pl,PL,plural
Poss ,POSS,possessive
Prep,none,preposition
Pron,none,pronoun
Rec,RECP,reciprocal
Refl,REFL,reflexive
Rel,REL,relative pronoun
Rev,none,reversive
Sbj,SBJ,subject
Sg,SG,singular
Sub,none,subordinating morpheme
Subj,SBJ,subject
TAM,none,tense aspect mood
tr.,TR,transitive
Ven,none,venitive
