File,Original_Tier_Name,New_Tier_Name
BEJ_MV_CONV_01_RICH.eaf,ft@SP2,ft@AH
BEJ_MV_CONV_01_RICH.eaf,ft@SP1,ft@MA
BEJ_MV_CONV_01_RICH.eaf,ft@SP3,ft@UNK
BEJ_MV_CONV_01_RICH.eaf,ge@SP2,gl@AH
BEJ_MV_CONV_01_RICH.eaf,ge@SP1,gl@MA
BEJ_MV_CONV_01_RICH.eaf,mb@SP2,mb@AH
BEJ_MV_CONV_01_RICH.eaf,mb@SP1,mb@MA
BEJ_MV_CONV_01_RICH.eaf,rx@SP2,ps@AH
BEJ_MV_CONV_01_RICH.eaf,rx@SP1,ps@MA
BEJ_MV_CONV_01_RICH.eaf,ref@SP2,ref@AH
BEJ_MV_CONV_01_RICH.eaf,ref@SP1,ref@MA
BEJ_MV_CONV_01_RICH.eaf,ref@SP3,ref@UNK
BEJ_MV_CONV_01_RICH.eaf,tx@SP2,tx@AH
BEJ_MV_CONV_01_RICH.eaf,tx@SP1,tx@MA
BEJ_MV_CONV_01_RICH.eaf,tx@SP3,tx@UNK
BEJ_MV_CONV_01_RICH.eaf,mot@SP2,wd@AH
BEJ_MV_CONV_01_RICH.eaf,mot@SP1,wd@MA
BEJ_MV_NARR_01_SHELTER.EAF,ft@SP,ft@AA
BEJ_MV_NARR_01_SHELTER.EAF,ge@SP,gl@AA
BEJ_MV_NARR_01_SHELTER.EAF,mb@SP,mb@AA
BEJ_MV_NARR_01_SHELTER.EAF,rx@SP,ps@AA
BEJ_MV_NARR_01_SHELTER.EAF,ref@SP,ref@AA
BEJ_MV_NARR_01_SHELTER.EAF,tx@SP,tx@AA
BEJ_MV_NARR_01_SHELTER.EAF,mot@SP,wd@AA
BEJ_MV_NARR_02_farmer.eaf,ft@SP,ft@AA
BEJ_MV_NARR_02_farmer.eaf,ge@SP,gl@AA
BEJ_MV_NARR_02_farmer.eaf,mb@SP,mb@AA
BEJ_MV_NARR_02_farmer.eaf,rx@SP,ps@AA
BEJ_MV_NARR_02_farmer.eaf,ref@SP,ref@AA
BEJ_MV_NARR_02_farmer.eaf,tx@SP,tx@AA
BEJ_MV_NARR_02_farmer.eaf,mot@SP,wd@AA
BEJ_MV_NARR_03_camel.eaf,ft@SP,ft@AA
BEJ_MV_NARR_03_camel.eaf,ge@SP,gl@AA
BEJ_MV_NARR_03_camel.eaf,mb@SP,mb@AA
BEJ_MV_NARR_03_camel.eaf,rx@SP,ps@AA
BEJ_MV_NARR_03_camel.eaf,ref@SP,ref@AA
BEJ_MV_NARR_03_camel.eaf,tx@SP,tx@AA
BEJ_MV_NARR_03_camel.eaf,mot@SP,wd@AA
BEJ_MV_NARR_04_djinn.eaf,ft@SP,ft@AA
BEJ_MV_NARR_04_djinn.eaf,ge@SP,gl@AA
BEJ_MV_NARR_04_djinn.eaf,mb@SP,mb@AA
BEJ_MV_NARR_04_djinn.eaf,rx@SP,ps@AA
BEJ_MV_NARR_04_djinn.eaf,ref@SP,ref@AA
BEJ_MV_NARR_04_djinn.eaf,tx@SP,tx@AA
BEJ_MV_NARR_04_djinn.eaf,mot@SP,wd@AA
BEJ_MV_NARR_05_eritrea.eaf,ft@SP,ft@AA
BEJ_MV_NARR_05_eritrea.eaf,ge@SP,gl@AA
BEJ_MV_NARR_05_eritrea.eaf,mb@SP,mb@AA
BEJ_MV_NARR_05_eritrea.eaf,rx@SP,ps@AA
BEJ_MV_NARR_05_eritrea.eaf,ref@SP,ref@AA
BEJ_MV_NARR_05_eritrea.eaf,tx@SP,tx@AA
BEJ_MV_NARR_05_eritrea.eaf,mot@SP,wd@AA
BEJ_MV_NARR_06_foreigner.eaf,ft@SP,ft@AA
BEJ_MV_NARR_06_foreigner.eaf,ge@SP,gl@AA
BEJ_MV_NARR_06_foreigner.eaf,mb@SP,mb@AA
BEJ_MV_NARR_06_foreigner.eaf,rx@SP,ps@AA
BEJ_MV_NARR_06_foreigner.eaf,ref@SP,ref@AA
BEJ_MV_NARR_06_foreigner.eaf,tx@SP,tx@AA
BEJ_MV_NARR_06_foreigner.eaf,mot@SP,wd@AA
BEJ_MV_NARR_07_cold.eaf,ft@SP,ft@AA
BEJ_MV_NARR_07_cold.eaf,ge@SP,gl@AA
BEJ_MV_NARR_07_cold.eaf,mb@SP,mb@AA
BEJ_MV_NARR_07_cold.eaf,rx@SP,ps@AA
BEJ_MV_NARR_07_cold.eaf,ref@SP,ref@AA
BEJ_MV_NARR_07_cold.eaf,tx@SP,tx@AA
BEJ_MV_NARR_07_cold.eaf,mot@SP,wd@AA
BEJ_MV_NARR_08_drunkard.eaf,ft@SP,ft@AA
BEJ_MV_NARR_08_drunkard.eaf,ge@SP,gl@AA
BEJ_MV_NARR_08_drunkard.eaf,mb@SP,mb@AA
BEJ_MV_NARR_08_drunkard.eaf,rx@SP,ps@AA
BEJ_MV_NARR_08_drunkard.eaf,ref@SP,ref@AA
BEJ_MV_NARR_08_drunkard.eaf,tx@SP,tx@AA
BEJ_MV_NARR_08_drunkard.eaf,mot@SP,wd@AA
BEJ_MV_NARR_09_jewel.eaf,ft@SP,ft@AA
BEJ_MV_NARR_09_jewel.eaf,ge@SP,gl@AA
BEJ_MV_NARR_09_jewel.eaf,mb@SP,mb@AA
BEJ_MV_NARR_09_jewel.eaf,rx@SP,ps@AA
BEJ_MV_NARR_09_jewel.eaf,ref@SP,ref@AA
BEJ_MV_NARR_09_jewel.eaf,tx@SP,tx@AA
BEJ_MV_NARR_09_jewel.eaf,mot@SP,wd@AA
BEJ_MV_NARR_10_rabbit.eaf,ft@SP,ft@AA
BEJ_MV_NARR_10_rabbit.eaf,ge@SP,gl@AA
BEJ_MV_NARR_10_rabbit.eaf,mb@SP,mb@AA
BEJ_MV_NARR_10_rabbit.eaf,rx@SP,ps@AA
BEJ_MV_NARR_10_rabbit.eaf,ref@SP,ref@AA
BEJ_MV_NARR_10_rabbit.eaf,tx@SP,tx@AA
BEJ_MV_NARR_10_rabbit.eaf,mot@SP,wd@AA
BEJ_MV_NARR_11_coffee.eaf,ft@SP,ft@AA
BEJ_MV_NARR_11_coffee.eaf,ge@SP,gl@AA
