Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
ABL,ABL,ablative
ACC,ACC,accusative
ADJZ,none,adjectivizer
ADVZ,none,adverbializer
AFFIRM,none,affirmation
AG,none,agent
ANT,none,anteriority
APRX,none,approximately
CAP,none,(unclear)
CAUS,CAUS,causative
COLL,none,collective
COM,COM,commitative
COMP,none,comparative
COND ,COND,conditional
CVB,CVB,converb
DAT,DAT,dative
DIM,none,diminuitive
DISTR,none,distributive
DRV,none,(unclear)
DU,DU,dual
EMOT,none,(unclear)
EMPH,none,emphasis
EP,none,epenthetic
EVID,none,(unclear)
EX,EXCL,exclusive
FREQ,none,(unclear)
FUT,FUT,future
GEN,GEN,genitive
HAB,none,habitual
IMP ,IMP,imperative
INCH,none,inchoative
INDEF,INDF,indefinite
INFER,none,inference
INSTR,INS,instrumental
INTJ,none,interjection
INTNS,none,intensive particle
ITER,none,iterative
LIM,none,(unclear)
LOC,LOC,locative
MED,none,(unclear)
MLTP,none,multiplicative
MOD,none,modal
MULT,none,multiplicative
NEC,none,necessary
NEG,NEG,negation
NMNZ,NMLZ,nominalizer
NOM ,NOM,nominative
ORD,none,ordinal
PART,none,partitive
PASS ,PASS,passive
PL,PL,plural
POSS,POSS,possessive
POT,none,(unclear)
PROPR,none,proper name
PRS,PRS,present
PST1,none,past 1
PST2,none,past 2
PTCP,PTCP,participle
PURP,none,purpose
Q,none,question particle
RECP,RECP,reciprocal
REFL,REFL,reflexive
SEQ,none,sequential
SG,SG,singular
SIM,none,simultaneity
TEMP,none,temporal
VBZ,none,verbializer
