Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
ADVZ,none,adverbializer
ANT,none,anterior
ASSOC,none,associative
BEN,BEN,benefactive
COM,COM,comitative
COMIT,COM,comitative
COMP,COMP,complementizer
COND,COND,conditional
DEF,DEF,definite
DEM,DEM,demonstrative
DEM.DIST,none,demonstrative distal
DIM,none,diminuitive
DIR,none,direction/vicinity of 
EMPH,none,emphasis
FOC,FOC,focus
FUT.CL,none,close future
GEN,GEN,genitive
HAB,none,habitual
HOW/WHERE,none,manner/locative nominalizer
I,none,independent pronoun
INTERR,none,interrogative
IRR,IRR,irrealis
LOC,LOC,locative
LOC.ANAPH,none,locative anaphor
LogA,none,logophoric addressee
LogS,none,logophoric speaker
M,M,masculine
NEG,NEG,negation
NOMZ,NMLZ,nominalizer
O,O,object pronoun
OBL,OBL,oblique
ORD,none,ordinal number
PAST.CL,none,close past
PAST.HEST,none,yesterday past
PAST.REM,none,remote past
PERM,none,permissive
PL,PL,plural
POSS,POSS,possessive
PRES,none,presentative
PROGR,PROG,progressive
PROH,PROH,prohibitive
PROX,PROX,proximal
PUR,none,purpose
REFL,REFL,reflexive
RESULT,RES,resultative
S,none,intransitive subject
SAY,none,reported speech
SAY,none,reported speech
SEQ,none,sequential
SG,SG,singular
SPEC,none,specific-indefinite article
SUB,none,subordination
WHERE,none,manner/locative nominalizer
