Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
ADV,ADV,adverbial
AFF,(none),(unclear)
CAUS,CAUS,causative
CLF,CLF,classifier
COLL,(none),collective
CONT,(none),continuative
CONTR,(none),contrastive
D,DU,dual
DEM,DEM,demonstrative
DIS,(none),(unclear)
DIST,DIST,distal
DISTR,DISTR,distributive
EMP,(none),(unclear)
EQU,(none),equative
EXCL,EXCL,excusive
EXP,(none),(unclear)
FAM,(none),familiar
GOAL,(none),goal
HORT,(none),hortative
ID,(none),identification
IMM.FUT,(none),immediate future
IMPF,IPFV,imperfective
INCL,INCL,inclusive
INSTR,INS,instrumental
IRR,IRR,irrealis
ITER,(none),iterative
LOC,LOC,locative
NEG,NEG,negative
NOM,NOM,nominative
P,PL,plural
PAST,PST,past
PERF,PRF,perfective
PROG,PROG,progressive
PROH,PROH,prohibitive
PROP,(none),property
Q,Q,question marker
REDR,(none),(unclear)
REL,REL,relative
RP,(none),root possibility
RT,(none),reality tense
S,SG,singular
SOURCE,(none),source
SUBJ,SBJ,subject
UNIT,(none),unitisier
