File,Original_Tier_Name,New_Tier_Name
PKZ_1964_SU0204.eaf,fe-KA (fe-KA),ft@KA
PKZ_1964_SU0204.eaf,fe-MAK (fe-MAK),ft@MAK
PKZ_1964_SU0204.eaf,fe-PKZ (fe-PKZ),ft@PKZ
PKZ_1964_SU0204.eaf,ge-PKZ_mtok,gl@PKZ
PKZ_1964_SU0204.eaf,mp-PKZ_mtok,mb@PKZ
PKZ_1964_SU0204.eaf,ps-PKZ (ps-PKZ),ps@PKZ
PKZ_1964_SU0204.eaf,ref-KA (ref-KA),ref@KA
PKZ_1964_SU0204.eaf,ref-MAK (ref-MAK),ref@MAK
PKZ_1964_SU0204.eaf,ref-PKZ (ref-PKZ),ref@PKZ
PKZ_1964_SU0204.eaf,ts-KA (ts-KA),tx@KA
PKZ_1964_SU0204.eaf,ts-MAK (ts-MAK),tx@MAK
PKZ_1964_SU0204.eaf,ts-PKZ (ts-PKZ),tx@PKZ
PKZ_1964_SU0204.eaf,tx-KA (tx-KA),wd@KA
PKZ_1964_SU0204.eaf,tx-MAK (tx-MAK),wd@MAK
PKZ_1964_SU0204.eaf,tx-PKZ (tx-PKZ),wd@PKZ
PKZ_1964_SU0205.eaf,fe-KA (fe-KA),ft@KA
PKZ_1964_SU0205.eaf,fe-PKZ (fe-PKZ),ft@PKZ
PKZ_1964_SU0205.eaf,ge-PKZ_mtok,gl@PKZ
PKZ_1964_SU0205.eaf,mp-PKZ_mtok,mb@PKZ
PKZ_1964_SU0205.eaf,ps-PKZ (ps-PKZ),ps@PKZ
PKZ_1964_SU0205.eaf,ref-KA (ref-KA),ref@KA
PKZ_1964_SU0205.eaf,ref-PKZ (ref-PKZ),ref@PKZ
PKZ_1964_SU0205.eaf,ts-KA (ts-KA),tx@KA
PKZ_1964_SU0205.eaf,ts-PKZ (ts-PKZ),tx@PKZ
PKZ_1964_SU0205.eaf,tx-KA (tx-KA),wd@KA
PKZ_1964_SU0205.eaf,tx-PKZ (tx-PKZ),wd@PKZ
PKZ_1964_SU0206.eaf,fe-KA (fe-KA),ft@KA
PKZ_1964_SU0206.eaf,fe-PKZ (fe-PKZ),ft@PKZ
PKZ_1964_SU0206.eaf,ge-PKZ_mtok,gl@PKZ
PKZ_1964_SU0206.eaf,mp-PKZ_mtok,mb@PKZ
PKZ_1964_SU0206.eaf,ps-PKZ (ps-PKZ),ps@PKZ
PKZ_1964_SU0206.eaf,ref-KA (ref-KA),ref@KA
PKZ_1964_SU0206.eaf,ref-PKZ (ref-PKZ),ref@PKZ
PKZ_1964_SU0206.eaf,ts-KA (ts-KA),tx@KA
PKZ_1964_SU0206.eaf,ts-PKZ (ts-PKZ),tx@PKZ
PKZ_1964_SU0206.eaf,tx-KA (tx-KA),wd@KA
PKZ_1964_SU0206.eaf,tx-PKZ (tx-PKZ),wd@PKZ
PKZ_1964_SU0207.eaf,fe-KA (fe-KA),ft@KA
PKZ_1964_SU0207.eaf,fe-PKZ (fe-PKZ),ft@PKZ
PKZ_1964_SU0207.eaf,ge-PKZ_mtok,gl@PKZ
PKZ_1964_SU0207.eaf,mp-PKZ_mtok,mb@PKZ
PKZ_1964_SU0207.eaf,ps-PKZ (ps-PKZ),ps@PKZ
PKZ_1964_SU0207.eaf,ref-KA (ref-KA),ref@KA
PKZ_1964_SU0207.eaf,ref-PKZ (ref-PKZ),ref@PKZ
PKZ_1964_SU0207.eaf,ts-KA (ts-KA),tx@KA
PKZ_1964_SU0207.eaf,ts-PKZ (ts-PKZ),tx@PKZ
PKZ_1964_SU0207.eaf,tx-KA (tx-KA),wd@KA
PKZ_1964_SU0207.eaf,tx-PKZ (tx-PKZ),wd@PKZ
PKZ_1964_SU0208.eaf,fe-KA (fe-KA),ft@KA
PKZ_1964_SU0208.eaf,fe-PKZ (fe-PKZ),ft@PKZ
PKZ_1964_SU0208.eaf,ge-PKZ_mtok,gl@PKZ
PKZ_1964_SU0208.eaf,mp-PKZ_mtok,mb@PKZ
PKZ_1964_SU0208.eaf,ps-PKZ (ps-PKZ),ps@PKZ
PKZ_1964_SU0208.eaf,ref-KA (ref-KA),ref@KA
