File,Original_Tier_Name,New_Tier_Name
tci20100905a.eaf,ft@ABB,ft@ABB
tci20100905a.eaf,gl@ABB,gl@ABB
tci20100905a.eaf,mb@ABB,mb@ABB
tci20100905a.eaf,pos@ABB,ps@ABB
tci20100905a.eaf,tx@ABB,tx@ABB
tci20100905a.eaf,wd@ABB,wd@ABB
tci20110802a.eaf,ft@ABB,ft@ABB
tci20110802a.eaf,gl@ABB,gl@ABB
tci20110802a.eaf,mb@ABB,mb@ABB
tci20110802a.eaf,pos@ABB,ps@ABB
tci20110802a.eaf,tx@ABB,tx@ABB
tci20110802a.eaf,wd@ABB,wd@ABB
tci20110810a-01.eaf,ft@MAB,ft@MAB
tci20110810a-01.eaf,gl@MAB,gl@MAB
tci20110810a-01.eaf,mb@MAB,mb@MAB
tci20110810a-01.eaf,pos@MAB,ps@MAB
tci20110810a-01.eaf,tx@MAB,tx@MAB
tci20110810a-01.eaf,wd@MAB,wd@MAB
tci20110810a-02.eaf,ft@MAB,ft@MAB
tci20110810a-02.eaf,gl@MAB,gl@MAB
tci20110810a-02.eaf,mb@MAB,mb@MAB
tci20110810a-02.eaf,pos@MAB,ps@MAB
tci20110810a-02.eaf,tx@MAB,tx@MAB
tci20110810a-02.eaf,wd@MAB,wd@MAB
tci20110813a-09.eaf,ft@DAK,ft@DAK
tci20110813a-09.eaf,gl@DAK,gl@DAK
tci20110813a-09.eaf,mb@DAK,mb@DAK
tci20110813a-09.eaf,pos@DAK,ps@DAK
tci20110813a-09.eaf,tx@DAK,tx@DAK
tci20110813a-09.eaf,wd@DAK,wd@DAK
tci20110817a-02.eaf,ft@ABB,ft@ABB
tci20110817a-02.eaf,gl@ABB,gl@ABB
tci20110817a-02.eaf,mb@ABB,mb@ABB
tci20110817a-02.eaf,pos@ABB,ps@ABB
tci20110817a-02.eaf,tx@ABB,tx@ABB
tci20110817a-02.eaf,wd@ABB,wd@ABB
tci20111107a-01.eaf,ft@MAK,ft@MAK
tci20111107a-01.eaf,gl@MAK,gl@MAK
tci20111107a-01.eaf,mb@MAK,mb@MAK
tci20111107a-01.eaf,pos@MAK,ps@MAK
tci20111107a-01.eaf,tx@MAK,tx@MAK
tci20111107a-01.eaf,wd@MAK,wd@MAK
tci20111107a-03.eaf,ft@RNA,ft@RNA
tci20111107a-03.eaf,gl@RNA,gl@RNA
tci20111107a-03.eaf,mb@RNA,mb@RNA
tci20111107a-03.eaf,pos@RNA,ps@RNA
tci20111107a-03.eaf,tx@CD,tx@CD
tci20111107a-03.eaf,tx@RNA,tx@RNA
tci20111107a-03.eaf,wd@RNA,wd@RNA
tci20111119a-03.eaf,ft@ABB,ft@ABB
tci20111119a-03.eaf,gl@ABB,gl@ABB
tci20111119a-03.eaf,mb@ABB,mb@ABB
tci20111119a-03.eaf,pos@ABB,ps@ABB
tci20111119a-03.eaf,tx@ABB,tx@ABB
tci20111119a-03.eaf,tx@CD,tx@CD
tci20111119a-03.eaf,wd@ABB,wd@ABB
tci20111119a-06.eaf,ft@MAB,ft@MAB
tci20111119a-06.eaf,ft@ROM,ft@ROM
tci20111119a-06.eaf,gl@MAB,gl@MAB
tci20111119a-06.eaf,gl@ROM,gl@ROM
tci20111119a-06.eaf,mb@MAB,mb@MAB
tci20111119a-06.eaf,mb@ROM,mb@ROM
tci20111119a-06.eaf,pos@MAB,ps@MAB
tci20111119a-06.eaf,pos@ROM,ps@ROM
tci20111119a-06.eaf,tx@CD,tx@CD
tci20111119a-06.eaf,tx@MAB,tx@MAB
tci20111119a-06.eaf,tx@ROM,tx@ROM
tci20111119a-06.eaf,wd@MAB,wd@MAB
tci20111119a-06.eaf,wd@ROM,wd@ROM
tci20111119v-01.eaf,ft@ABB,ft@ABB
tci20111119v-01.eaf,gl@ABB,gl@ABB
tci20111119v-01.eaf,mb@ABB,mb@ABB
tci20111119v-01.eaf,pos@ABB,ps@ABB
tci20111119v-01.eaf,tx@ABB,tx@ABB
tci20111119v-01.eaf,tx@CD,tx@CD
tci20111119v-01.eaf,wd@ABB,wd@ABB
tci20120805a-01.eaf,ft@ABB,ft@ABB
tci20120805a-01.eaf,gl@ABB,gl@ABB
tci20120805a-01.eaf,mb@ABB,mb@ABB
tci20120805a-01.eaf,pos@ABB,ps@ABB
tci20120805a-01.eaf,tx@ABB,tx@ABB
tci20120805a-01.eaf,tx@CD,tx@CD
tci20120805a-01.eaf,wd@ABB,wd@ABB
tci20120814a.eaf,ft@ABB,ft@ABB
tci20120814a.eaf,gl@ABB,gl@ABB
tci20120814a.eaf,mb@ABB,mb@ABB
tci20120814a.eaf,pos@ABB,ps@ABB
tci20120814a.eaf,tx@ABB,tx@ABB
tci20120814a.eaf,tx@CD,tx@CD
tci20120814a.eaf,wd@ABB,wd@ABB
tci20120815a.eaf,ft@ABB,ft@ABB
tci20120815a.eaf,gl@ABB,gl@ABB
tci20120815a.eaf,mb@ABB,mb@ABB
tci20120815a.eaf,pos@ABB,ps@ABB
tci20120815a.eaf,tx@ABB,tx@ABB
tci20120815a.eaf,tx@CD,tx@CD
tci20120815a.eaf,wd@ABB,wd@ABB
tci20120817a-02.eaf,ft@ABB,ft@ABB
tci20120817a-02.eaf,gl@ABB,gl@ABB
tci20120817a-02.eaf,mb@ABB,mb@ABB
tci20120817a-02.eaf,pos@ABB,ps@ABB
tci20120817a-02.eaf,tx@ABB,tx@ABB
tci20120817a-02.eaf,tx@CD,tx@CD
