File,Original_Tier_Name,New_Tier_Name
ArosII.eaf,ft@EAO,ft@EAO
ArosII.eaf,g@EAO,gl@EAO
ArosII.eaf,m@EAO,mb@EAO
ArosII.eaf,p@EAO,ps@EAO
ArosII.eaf,ref@EAO,ref@EAO
ArosII.eaf,tx1@EAO,tx@EAO
ArosII.eaf,tx@EAO,wd@EAO
EAO-vibora.eaf,fn@EAO,ft@EAO
EAO-vibora.eaf,ref@EAO,ref@EAO
EAO-vibora.eaf,ref@KH,ref@KH
EAO-vibora.eaf,tx1@EAO,tx@EAO
EAO-vibora.eaf,tx1@KH,tx@KH
EAO-vibora.eaf,tx@EAO,wd@EAO
EAO-vibora.eaf,tx@KH,wd@KH
HRR_120808_tigregente.eaf,fn@HRR,ft@HRR
HRR_120808_tigregente.eaf,g@HRR,gl@HRR
HRR_120808_tigregente.eaf,m@HRR,mb@HRR
HRR_120808_tigregente.eaf,p@HRR,ps@HRR
HRR_120808_tigregente.eaf,ref@HRR,ref@HRR
HRR_120808_tigregente.eaf,ref@KH,ref@KH
HRR_120808_tigregente.eaf,tx1@HRR,tx@HRR
HRR_120808_tigregente.eaf,tx1@KH,tx@KH
HRR_120808_tigregente.eaf,tx@HRR,wd@HRR
HRR_120808_tigregente.eaf,tx@KH,wd@KH
JGD_130907_6_el_pueblo.eaf,fe@JGD,ft@JGD
JGD_130907_6_el_pueblo.eaf,fe@KH,ft@KH
JGD_130907_6_el_pueblo.eaf,g@JGD,gl@JGD
JGD_130907_6_el_pueblo.eaf,g@KH,gl@KH
JGD_130907_6_el_pueblo.eaf,m@JGD,mb@JGD
JGD_130907_6_el_pueblo.eaf,m@KH,mb@KH
JGD_130907_6_el_pueblo.eaf,p@JGD,ps@JGD
JGD_130907_6_el_pueblo.eaf,p@KH,ps@KH
JGD_130907_6_el_pueblo.eaf,ref@JGD,ref@JGD
JGD_130907_6_el_pueblo.eaf,ref@KH,ref@KH
JGD_130907_6_el_pueblo.eaf,tx1@JGD,tx@JGD
JGD_130907_6_el_pueblo.eaf,tx1@KH,tx@KH
JGD_130907_6_el_pueblo.eaf,tx@JGD,wd@JGD
JGD_130907_6_el_pueblo.eaf,tx@KH,wd@KH
JGD_130907_8_lago_seco.eaf,fn@JGD,ft@JGD
JGD_130907_8_lago_seco.eaf,fn@KH,ft@KH
JGD_130907_8_lago_seco.eaf,g@JGD,gl@JGD
JGD_130907_8_lago_seco.eaf,m@JGD,mb@JGD
JGD_130907_8_lago_seco.eaf,p@JGD,ps@JGD
JGD_130907_8_lago_seco.eaf,ref@JGD,ref@JGD
JGD_130907_8_lago_seco.eaf,ref@KH,ref@KH
JGD_130907_8_lago_seco.eaf,tx1@JGD,tx@JGD
JGD_130907_8_lago_seco.eaf,tx1@KH,tx@KH
JGD_130907_8_lago_seco.eaf,tx@JGD,wd@JGD
JGD_130907_8_lago_seco.eaf,tx@KH,wd@KH
JGD_130907_9_pescador.eaf,fn@JGD,ft@JGD
JGD_130907_9_pescador.eaf,fn@KH,ft@KH
