File,Original_Tier_Name,New_Tier_Name
20100722b_003_MT.eaf,et@MT,ft@MT
20100722b_003_MT.eaf,g@MT_tok_tok,gl@MT
20100722b_003_MT.eaf,m@MT_tok_tok,mb@MT
20100722b_003_MT.eaf,ref@MP,ref@MP
20100722b_003_MT.eaf,ref@MT,ref@MT
20100722b_003_MT.eaf,tx@MP,tx@MP
20100722b_003_MT.eaf,tx@MT,tx@MT
20100722b_003_MT.eaf,m@MT_tok,wd@MT
20100722b_004_MT.eaf,et@MP,ft@MP
20100722b_004_MT.eaf,et@MT,ft@MT
20100722b_004_MT.eaf,g@MT_tok_tok,gl@MT
20100722b_004_MT.eaf,m@MT_tok_tok,mb@MT
20100722b_004_MT.eaf,ref@MP,ref@MP
20100722b_004_MT.eaf,ref@MT,ref@MT
20100722b_004_MT.eaf,tx@MP,tx@MP
20100722b_004_MT.eaf,tx@MT,tx@MT
20100722b_004_MT.eaf,m@MT_tok,wd@MT
20100722b_005_MT.eaf,et@MT,ft@MT
20100722b_005_MT.eaf,g@MT_tok_tok,gl@MT
20100722b_005_MT.eaf,m@MT_tok_tok,mb@MT
20100722b_005_MT.eaf,ref@MP,ref@MP
20100722b_005_MT.eaf,ref@MT,ref@MT
20100722b_005_MT.eaf,tx@MP,tx@MP
20100722b_005_MT.eaf,tx@MT,tx@MT
20100722b_005_MT.eaf,m@MT_tok,wd@MT
20100722b_006_MT.eaf,et@MP,ft@MP
20100722b_006_MT.eaf,et@MT,ft@MT
20100722b_006_MT.eaf,g@MT_tok_tok,gl@MT
20100722b_006_MT.eaf,m@MT_tok_tok,mb@MT
20100722b_006_MT.eaf,ref@MP,ref@MP
20100722b_006_MT.eaf,ref@MT,ref@MT
20100722b_006_MT.eaf,tx@MP,tx@MP
20100722b_006_MT.eaf,tx@MT,tx@MT
20100722b_006_MT.eaf,m@MT_tok,wd@MT
20100723_001_MT.eaf,nt@MP,ft@MP
20100723_001_MT.eaf,et@MT,ft@MT
20100723_001_MT.eaf,g@MT_tok_tok,gl@MT
20100723_001_MT.eaf,m@MT_tok_tok,mb@MT
20100723_001_MT.eaf,ref@MP,ref@MP
20100723_001_MT.eaf,ref@MT,ref@MT
20100723_001_MT.eaf,tx@MP,tx@MP
20100723_001_MT.eaf,tx@MT,tx@MT
20100723_001_MT.eaf,m@MT_tok,wd@MT
20110518a_002_QB.eaf,tf@QB,ft@QB
20110518a_002_QB.eaf,po@MP,ref@MP
20110518a_002_QB.eaf,po@QB,ref@QB
20110518a_002_QB.eaf,dt@QB,tx@QB
20110518b_005_LB_ND.eaf,Translation,ft@LB
20110518b_005_LB_ND.eaf,Transcript,tx@LB
20110521b_003_MT.eaf,tf@MP,ft@MP
20110521b_003_MT.eaf,tf@MT,ft@MT
20110521b_003_MT.eaf,gl@MT_mtok,gl@MT
20110521b_003_MT.eaf,dt@MT_mtok,mb@MT
20110521b_003_MT.eaf,po@MP,ref@MP
20110521b_003_MT.eaf,po@MT,ref@MT
20110521b_003_MT.eaf,dt@MP,tx@MP
20110521b_003_MT.eaf,dt@MT,tx@MT
20110521b_003_MT.eaf,dt@MT_wtok,wd@MT
20110526c_000_MT.eaf,tf@MP,ft@MP
20110526c_000_MT.eaf,tf@MT,ft@MT
20110526c_000_MT.eaf,gl@MT_tok_tok,gl@MT
20110526c_000_MT.eaf,mb@MT_tok_tok,mb@MT
20110526c_000_MT.eaf,ps@MT,ps@MT
20110526c_000_MT.eaf,ref@MP,ref@MP
20110526c_000_MT.eaf,po@MP,ref@MP
20110526c_000_MT.eaf,ref@MT,ref@MT
20110526c_000_MT.eaf,po@MT,ref@MT
20110526c_000_MT.eaf,ref@unknown,ref@unknown
20110526c_000_MT.eaf,dt@MP,tx@MP
20110526c_000_MT.eaf,dt@MT,tx@MT
20110526c_000_MT.eaf,mb@MT_tok,wd@MT
20110526c_001_MT.eaf,tf@MT,ft@MT
20110526c_001_MT.eaf,gl@MP_tok_tok,gl@MP
20110526c_001_MT.eaf,gl@MT_tok_tok,gl@MT
20110526c_001_MT.eaf,mb@MP_tok_tok,mb@MP
20110526c_001_MT.eaf,mb@MT_tok_tok,mb@MT
20110526c_001_MT.eaf,ps@MP,ps@MP
20110526c_001_MT.eaf,ps@MT,ps@MT
20110526c_001_MT.eaf,ref@MP,ref@MP
20110526c_001_MT.eaf,ref@MT,ref@MT
20110526c_001_MT.eaf,ref@unknown,ref@unknown
20110526c_001_MT.eaf,dt@MP,tx@MP
20110526c_001_MT.eaf,dt@MT,tx@MT
20110526c_001_MT.eaf,dt@unknown,tx@unknown
20110526c_001_MT.eaf,mb@MP_tok,wd@MP
20110526c_001_MT.eaf,mb@MT_tok,wd@MT
20110526c_001_MT.eaf,mb@unknown,wd@unknown
20110526c_002_MT.eaf,tf@MP,ft@MP
20110526c_002_MT.eaf,tf@MT,ft@MT
20110526c_002_MT.eaf,gl@MT_tok_tok,gl@MT
20110526c_002_MT.eaf,mb@MT_tok_tok,mb@MT
20110526c_002_MT.eaf,po@MP,ref@MP
20110526c_002_MT.eaf,po@MT,ref@MT
20110526c_002_MT.eaf,dt@MP,tx@MP
20110526c_002_MT.eaf,dt@MT,tx@MT
20110526c_002_MT.eaf,mb@MT_tok,wd@MT
20110529_003_MT.eaf,tf@MT,ft@MT
20110529_003_MT.eaf,gl@MT_tok_tok,gl@MT
20110529_003_MT.eaf,mb@MT_tok_tok,mb@MT
20110529_003_MT.eaf,po@MP,ref@MP
20110529_003_MT.eaf,po@MT,ref@MT
20110529_003_MT.eaf,dt@MP,tx@MP
20110529_003_MT.eaf,dt@MT,tx@MT
20110529_003_MT.eaf,mb@MT_tok,wd@MT
20110605_002_LB_ND.eaf,tf@LB,ft@LB
20110605_002_LB_ND.eaf,tf@MP,ft@MP
20110605_002_LB_ND.eaf,tf@ND,ft@ND
20110605_002_LB_ND.eaf,gl@LB_mtok,gl@LB
20110605_002_LB_ND.eaf,dt@LB_mtok,mb@LB
20110605_002_LB_ND.eaf,po@LB,ref@LB
20110605_002_LB_ND.eaf,po@MP,ref@MP
20110605_002_LB_ND.eaf,po@ND,ref@ND
20110605_002_LB_ND.eaf,dt@LB,tx@LB
20110605_002_LB_ND.eaf,dt@MP,tx@MP
20110605_002_LB_ND.eaf,dt@ND,tx@ND
20110605_002_LB_ND.eaf,dt@LB_wtok,wd@LB
20110607a_003_MT.eaf,tl@MP,ft@MP
20110607a_003_MT.eaf,tf@MT,ft@MT
20110607a_003_MT.eaf,gl@MT_tok_tok,gl@MT
20110607a_003_MT.eaf,mb@MT_tok_tok,mb@MT
20110607a_003_MT.eaf,ps@MT,ps@MT
20110607a_003_MT.eaf,ref@MP,ref@MP
20110607a_003_MT.eaf,ref@MT,ref@MT
20110607a_003_MT.eaf,ref@unknown,ref@unknown
20110607a_003_MT.eaf,dt@MP,tx@MP
