Gloss,LGR,Meaning
ANIMAL,none,name of an animal
ARBRE,none,name of a tree
ART.C,none,Article common names
ART.P,none,Article proper names
ASP,none,Aspect
ASP.A,none,Atelic
ASP.C,none,Durative
ASP.D,none,Inchotive
ASP.EC,none,Progressive
ASP.F,none,Completive
ASP.I,none,Not happened yet
ASP.J,none,Time Focus
ASP.R,none,"Protractive (In Vanuatu's descriptive litterature, Repetitive is used here as well)"
ASP.T,none,Telic
ASP.V,none,Progressive
AUTRE,none,Event outside of the text's performence
COO,none,Coordination
COO.ASP.EC,none,Verbal Coordination with aspect marked
COO.CAUS,none,Causative Coordination
COO.CSQ,none,Coordination Consequence
COO.NARR,none,Coordination Narrative
COO.NM,none,Nominal Coordination
COO.OP,none,Oppositive Coordination
COO.TMP,none,Temporal Coordination
COO.VB,none,Verbal Coordination
COP,COP,Copula
CORR,none,Correction
DEF,DEF,Definite
DEI,none,Deitic
DEI.E,none,Pronoun Deictic away to the speaker
DEI.LOC,none,Locative Deictic
DEI.LOC.E,none,Locative Deictic
DEI.LOC.P,none,Pronoun Deictic Locative referring to something close to the speaker
DEI.LOC.PI,none,Pronoun Deictic Locative Close to the interlocutor
DEI.LOC.PRO,none,Locative Deictic
DEI.LOC.R,none,Pronoun Deictic Locative Referenced
DEI.P,none,Pronoun Deictic close to the speaker
DEI.PI,none,Pronoun Deictic close to the interlocutor
DEI.PL,none,Deictic referring to something closed to the speaker
DEI.R,none,Pronoun Deictic Referenced
DESI,none,Designative
DET,DET,Determiner
DIR,none,Directive
DU,DU,Dual
EXCL,EXCL,Exclusive
FUT,FUT,Future
FUT.C,none,Futur
FUT.POST,none,Futur post-posé
HESI,none,Hesitations
INCL,INCL,Inclusive
INDEF,none,Undefinite
INSECT,none,Taxon referring to an insect
INSECTE,none,name of an insect
INST,none,Instrumetal
INT,none,Intentificative
INTER,none,Interjection
INTER.ACQ,none,Interjection Aggrement
INTER.AP,none,Interjection Appelative
INTER.EXC,none,Interjection Exclamative
INTER.F,none,Interjection Finale
INTER.NEG,none,Interjection Negative
INTER.OP,none,Interjection Opposing
INTER.SP,none,Interjection Surprise
INTR,INTR,Intransitive
IRR,IRR,Irrealis
LIEU,none,name of a place
LOC.DEI.E,none,Pronoun Deictic Locative referring to something away from the speaker
LOC.DEI.I,none,Pronoun Deictic Locative referring to something close to the speaker
LOC.DEI.P,none,Pronoun Deictic Locative referring to something close to the speaker
LOC.DEI.R,none,Pronoun Deictic Locative referring to something already discussed by the speaker
MUL,none,Multiplicative
MUS,none,Musical
NARR,none,Impecfective
NEG,none,Negative
NEG.INT,none,Negative intensifier
NOM,none,name of a person
NOMI,none,Nominative
OBJ,none,Object
OISEAU,none,name of a bird
OP,none,Other Party
PA,none,Possessive Allienable
PA.AFFEC,none,Possessive Allienable Affective
PAN,none,Alienable Possessive for Food
PI,none,Inalienable Possessive
PI.IND,none,Possessive Indeterminated
PL,none,Plural
PL.DEI.R,none,Personnal Pronoun Plural Deictic refering to
PN,none,Possessive Allienable for Food
POISSON,none,name of a fish
POS,POSS,Possessive
PR.INDEF,none,Indefinite Pronoun
PR.OP,none,Pronoun Reference Other Party
PRE,none,Preposition
PRE.LOC,none,Locative Preposition
PRE.LOC.DOM,none,Home Locative Preposition
PRE.LOC.P,none,Close Locative Preposition
PRE.TMP,none,Temporal Preposition
PREP,none,Preposition
PREP.CAUSE,none,Causative Preposition
PRO,none,Pronoun
PRO.DEI.E,none,Pronoun Deictic Away
PRO.DEI.P,none,Pronoun Deictic Close
PRO.DEI.R,none,Pronoun Deictic Referenced
RECI,none,Designative for verbs
RED,none,Reduplication
REL,none,Relative
SG,SG,Singular
TAXON,none,taxonomic name
