Gloss,LGR,Meaning
1,1,first person
2,2,second person
3,3,third person
ABS,ABS,absolutive
AV,none,actor voice
CAU,CAU,causative
CMTV,none,(unclear)
CV,none,conveyance voice
CWA,none,affixed content word
CWA1,none,affixed content word
CWA2,none,affixed content word
d,none,deictic
DEM,DEM,demonstrative
DIST,DIST,distal
FDIST,DIST,far distal
GEN,GEN,genitive
GER,none,gerund
INST,INS,instrumental
LK,none,linker
LOC,LOC,locative
LPROX,PROX,less proximal
LV,none,locative voice
MED,none,medial
OBL,OBL,oblique
p,PL,plural
pe,none,plural exclusive
pi,none,plural inclusive
PM,PRED,predicate marker
POT,none,potentive
PRF,PRF,perfective
PRG,PROG,progressive
PROX,PROX,proximal
PV,none,patient voice
RDP,none,reduplication
s,SG,singular
SML,none,similative
SPEC,none,specificity marker
ST,none,stative
