a;a
e;@
i;i
o;o
u;u
p;p
b;b
m;m
y;j
w;w
t;t
d;d
j;dZ
n;n
r;r
s;s
l;l
k;k
g;g
ng;N
ʔ;?
h;h 

%%% Sounds from Spanish or English %%%
rr;r
c;s
co;k o
cu;k w
ca;k a
z;s
v;v
ñ;J
f;f
x;k s

%%% Glottal stop insertion %%%
set V a;a
set V e;@
set V i;i
set V o;o
set V u;u
#$V$;? .

%%% Special cases %%%
#ine;? i n I:
#siddin#;s i d d I: n
#sidden#;s i d d I: n
#siddiʔe#;s i d d i ? I:
ʔen#;? I: n
ʔiʔe#;? i ? I:
#niʔnen#;n i ? n I: n
#niʔniʔe#;n i ? n i ? I:
#niddin#;n i d d I: n
#nidden#;n i d d I: n
#niddiʔe#;n i d d i ? I:
#tiʔsen#;t i ? s I: n
#tiʔsiʔe#;t i ? s i ? I:
sen#;s I: n
siʔe#;s i ? I:
