File,Original_Tier_Name,New_Tier_Name
AT1_ET1_1.eaf,AT1_Translation-gls-en,ft@AT1
AT1_ET1_1.eaf,ET1_Translation-gls-en,ft@ET1
AT1_ET1_1.eaf,AT1_Transcription-txt-qaa-x-aaa,tx@AT1
AT1_ET1_1.eaf,ET1_Transcription-txt-qaa-x-aaa,tx@ET1
BK1_1.eaf,B_phrase-gls-en,ft@B
BK1_1.eaf,A_phrase-gls-en,ft@BK1
BK1_1.eaf,C_phrase-gls-en,ft@C
BK1_1.eaf,B_morph-gls-en,gl@B
BK1_1.eaf,A_morph-gls-en,gl@BK1
BK1_1.eaf,C_morph-gls-en,gl@C
BK1_1.eaf,B_morph-txt-qaa-x-aaa,mb@B
BK1_1.eaf,A_morph-txt-qaa-x-aaa,mb@BK1
BK1_1.eaf,C_morph-txt-qaa-x-aaa,mb@C
BK1_1.eaf,B_phrase-segnum-en,ref@B
BK1_1.eaf,A_phrase-segnum-en,ref@BK1
BK1_1.eaf,C_phrase-segnum-en,ref@C
BK1_1.eaf,B_word-txt-qaa-x-aaa,wd@B
BK1_1.eaf,A_word-txt-qaa-x-aaa,wd@BK1
BK1_1.eaf,C_word-txt-qaa-x-aaa,wd@C
BK1_2.eaf,A_phrase-gls-en,ft@BK1
BK1_2.eaf,C_phrase-gls-en,ft@C
BK1_2.eaf,B_phrase-gls-en,ft@KS1
BK1_2.eaf,A_morph-gls-en,gl@BK1
BK1_2.eaf,C_morph-gls-en,gl@C
BK1_2.eaf,B_morph-gls-en,gl@KS1
BK1_2.eaf,A_morph-txt-qaa-x-aaa,mb@BK1
BK1_2.eaf,C_morph-txt-qaa-x-aaa,mb@C
BK1_2.eaf,B_morph-txt-qaa-x-aaa,mb@KS1
BK1_2.eaf,A_phrase-segnum-en,ref@BK1
BK1_2.eaf,C_phrase-segnum-en,ref@C
BK1_2.eaf,B_phrase-segnum-en,ref@KS1
BK1_2.eaf,A_word-txt-qaa-x-aaa,wd@BK1
BK1_2.eaf,C_word-txt-qaa-x-aaa,wd@C
BK1_2.eaf,B_word-txt-qaa-x-aaa,wd@KS1
ET1_2.eaf,A_phrase-gls-en,ft@ET1
ET1_2.eaf,A_morph-gls-en,gl@ET1
ET1_2.eaf,A_morph-txt-qaa-x-aaa,mb@ET1
ET1_2.eaf,A_phrase-segnum-en,ref@ET1
ET1_2.eaf,A_word-txt-qaa-x-aaa,wd@ET1
IR1_2.eaf,A_phrase-gls-en,ft@IR1
IR1_2.eaf,A_morph-gls-en,gl@IR1
IR1_2.eaf,A_morph-txt-qaa-x-aaa,mb@IR1
IR1_2.eaf,A_phrase-segnum-en,ref@IR1
IR1_2.eaf,A_word-txt-qaa-x-aaa,wd@IR1
KS1_1.eaf,A_phrase-gls-en,ft@KS1
KS1_1.eaf,B_phrase-gls-en,ft@SJ1
KS1_1.eaf,A_morph-gls-en,gl@KS1
KS1_1.eaf,B_morph-gls-en,gl@SJ1
KS1_1.eaf,A_morph-txt-qaa-x-aaa,mb@KS1
KS1_1.eaf,B_morph-txt-qaa-x-aaa,mb@SJ1
KS1_1.eaf,A_phrase-segnum-en,ref@KS1
KS1_1.eaf,B_phrase-segnum-en,ref@SJ1
KS1_1.eaf,A_word-txt-qaa-x-aaa,wd@KS1
KS1_1.eaf,B_word-txt-qaa-x-aaa,wd@SJ1
KS1_2.eaf,BK1_Translation-gls-en,ft@BK1
KS1_2.eaf,KS1_Translation-gls-en,ft@KS1
KS1_2.eaf,LM1_Translation-gls-en,ft@LM1
KS1_2.eaf,MF1_Translation-gls-en,ft@MF1
KS1_2.eaf,SJ1_Translation-gls-en,ft@SJ1
KS1_2.eaf,Samsam_Translation-gls-en,ft@UNK1
KS1_2.eaf,IR1_Participant-note-en,ft@UNK2
KS1_2.eaf,Winnie_Translation-gls-en,ft@UNK2
KS1_2.eaf,samuel_Translation-gls-en,ft@UNK3
KS1_2.eaf,Terry_Translation-gls-en,ft@UNK4
KS1_2.eaf,Roy_Translation-gls-en,ft@UNK5
KS1_2.eaf,BK1_Transcription-txt-qaa-x-aaa,tx@BK1
KS1_2.eaf,IR1_Transcription-txt-qaa-x-aaa,tx@IR1
KS1_2.eaf,KS1_Transcription-txt-qaa-x-aaa,tx@KS1
KS1_2.eaf,LM1_Transcription-txt-qaa-x-aaa,tx@LM1
KS1_2.eaf,MF1_Transcription-txt-qaa-x-aaa,tx@MF1
KS1_2.eaf,SJ1_Transcription-txt-qaa-x-aaa,tx@SJ1
KS1_2.eaf,Samsam_Transcription-txt-qaa-x-aaa,tx@UNK1
KS1_2.eaf,Winnie_Transcription-txt-qaa-x-aaa,tx@UNK2
KS1_2.eaf,samuel_Transcription-txt-qaa-x-aaa,tx@UNK3
KS1_2.eaf,Terry_Transcription-txt-qaa-x-aaa,tx@UNK4
KS1_2.eaf,Roy_Transcription-txt-qaa-x-aaa,tx@UNK5
KS2_1.eaf,B_phrase-gls-en,ft@B
KS2_1.eaf,C_phrase-gls-en,ft@C
KS2_1.eaf,D_phrase-gls-en,ft@D
KS2_1.eaf,E_phrase-gls-en,ft@E
KS2_1.eaf,A_phrase-gls-en,ft@KS2
KS2_1.eaf,B_morph-gls-en,gl@B
KS2_1.eaf,C_morph-gls-en,gl@C
KS2_1.eaf,E_morph-gls-en,gl@E
KS2_1.eaf,A_morph-gls-en,gl@KS2
KS2_1.eaf,B_morph-txt-qaa-x-aaa,mb@B
KS2_1.eaf,C_morph-txt-qaa-x-aaa,mb@C
KS2_1.eaf,E_morph-txt-qaa-x-aaa,mb@E
KS2_1.eaf,A_morph-txt-qaa-x-aaa,mb@KS2
KS2_1.eaf,B_phrase-segnum-en,ref@B
KS2_1.eaf,C_phrase-segnum-en,ref@C
KS2_1.eaf,D_phrase-segnum-en,ref@D
KS2_1.eaf,E_phrase-segnum-en,ref@E
KS2_1.eaf,A_phrase-segnum-en,ref@KS2
KS2_1.eaf,B_word-txt-qaa-x-aaa,wd@B
KS2_1.eaf,C_word-txt-qaa-x-aaa,wd@C
KS2_1.eaf,D_word-txt-qaa-x-aaa,wd@D
KS2_1.eaf,E_word-txt-qaa-x-aaa,wd@E
KS2_1.eaf,A_word-txt-qaa-x-aaa,wd@KS2
KS2_2.eaf,B_phrase-gls-en,ft@B
KS2_2.eaf,C_phrase-gls-en,ft@C
KS2_2.eaf,D_phrase-gls-en,ft@D
KS2_2.eaf,A_phrase-gls-en,ft@KS2
KS2_2.eaf,B_morph-gls-en,gl@B
KS2_2.eaf,C_morph-gls-en,gl@C
KS2_2.eaf,A_morph-gls-en,gl@KS2
KS2_2.eaf,B_morph-txt-qaa-x-aaa,mb@B
KS2_2.eaf,C_morph-txt-qaa-x-aaa,mb@C
KS2_2.eaf,D_morph-txt-qaa-x-aaa,mb@D
KS2_2.eaf,A_morph-txt-qaa-x-aaa,mb@KS2
KS2_2.eaf,B_phrase-segnum-en,ref@B
KS2_2.eaf,C_phrase-segnum-en,ref@C
KS2_2.eaf,D_phrase-segnum-en,ref@D
KS2_2.eaf,A_phrase-segnum-en,ref@KS2
KS2_2.eaf,B_word-txt-qaa-x-aaa,wd@B
KS2_2.eaf,C_word-txt-qaa-x-aaa,wd@C
KS2_2.eaf,D_word-txt-qaa-x-aaa,wd@D
KS2_2.eaf,A_word-txt-qaa-x-aaa,wd@KS2
KS2_3.eaf,B_phrase-gls-en,ft@B
KS2_3.eaf,C_phrase-gls-en,ft@C
KS2_3.eaf,D_phrase-gls-en,ft@D
KS2_3.eaf,A_phrase-gls-en,ft@KS2
KS2_3.eaf,B_morph-gls-en,gl@B
KS2_3.eaf,C_morph-gls-en,gl@C
KS2_3.eaf,D_morph-gls-en,gl@D
KS2_3.eaf,A_morph-gls-en,gl@KS2
KS2_3.eaf,B_morph-txt-qaa-x-aaa,mb@B
KS2_3.eaf,C_morph-txt-qaa-x-aaa,mb@C
KS2_3.eaf,D_morph-txt-qaa-x-aaa,mb@D
KS2_3.eaf,A_morph-txt-qaa-x-aaa,mb@KS2
KS2_3.eaf,B_phrase-segnum-en,ref@B
KS2_3.eaf,C_phrase-segnum-en,ref@C
KS2_3.eaf,D_phrase-segnum-en,ref@D
KS2_3.eaf,A_phrase-segnum-en,ref@KS2
KS2_3.eaf,B_word-txt-qaa-x-aaa,wd@B
KS2_3.eaf,C_word-txt-qaa-x-aaa,wd@C
KS2_3.eaf,D_word-txt-qaa-x-aaa,wd@D
KS2_3.eaf,A_word-txt-qaa-x-aaa,wd@KS2
LM1_1.eaf,B_phrase-gls-en,ft@B
LM1_1.eaf,C_phrase-gls-en,ft@C
LM1_1.eaf,A_phrase-gls-en,ft@LM1
LM1_1.eaf,B_morph-gls-en,gl@B
LM1_1.eaf,C_morph-gls-en,gl@C
LM1_1.eaf,A_morph-gls-en,gl@LM1
LM1_1.eaf,B_morph-txt-qaa-x-aaa,mb@B
LM1_1.eaf,C_morph-txt-qaa-x-aaa,mb@C
LM1_1.eaf,A_morph-txt-qaa-x-aaa,mb@LM1
LM1_1.eaf,B_phrase-segnum-en,ref@B
LM1_1.eaf,C_phrase-segnum-en,ref@C
LM1_1.eaf,A_phrase-segnum-en,ref@LM1
LM1_1.eaf,B_word-txt-qaa-x-aaa,wd@B
LM1_1.eaf,C_word-txt-qaa-x-aaa,wd@C
LM1_1.eaf,A_word-txt-qaa-x-aaa,wd@LM1
LM1_11.eaf,C_phrase-gls-en,ft@C
LM1_11.eaf,D_phrase-gls-en,ft@D
LM1_11.eaf,E_phrase-gls-en,ft@E
LM1_11.eaf,F_phrase-gls-en,ft@F
LM1_11.eaf,G_phrase-gls-en,ft@G
LM1_11.eaf,H_phrase-gls-en,ft@H
LM1_11.eaf,I_phrase-gls-en,ft@I
LM1_11.eaf,A_phrase-gls-en,ft@IR1
LM1_11.eaf,J_phrase-gls-en,ft@J
LM1_11.eaf,K_phrase-gls-en,ft@K
LM1_11.eaf,B_phrase-gls-en,ft@LM1
LM1_11.eaf,C_morph-gls-en,gl@C
LM1_11.eaf,D_morph-gls-en,gl@D
LM1_11.eaf,E_morph-gls-en,gl@E
LM1_11.eaf,F_morph-gls-en,gl@F
LM1_11.eaf,G_morph-gls-en,gl@G
LM1_11.eaf,H_morph-gls-en,gl@H
LM1_11.eaf,I_morph-gls-en,gl@I
LM1_11.eaf,A_morph-gls-en,gl@IR1
LM1_11.eaf,J_morph-gls-en,gl@J
LM1_11.eaf,K_morph-gls-en,gl@K
LM1_11.eaf,B_morph-gls-en,gl@LM1
LM1_11.eaf,C_morph-txt-qaa-x-aaa,mb@C
LM1_11.eaf,D_morph-txt-qaa-x-aaa,mb@D
LM1_11.eaf,E_morph-txt-qaa-x-aaa,mb@E
LM1_11.eaf,F_morph-txt-qaa-x-aaa,mb@F
LM1_11.eaf,G_morph-txt-qaa-x-aaa,mb@G
LM1_11.eaf,H_morph-txt-qaa-x-aaa,mb@H
LM1_11.eaf,I_morph-txt-qaa-x-aaa,mb@I
LM1_11.eaf,A_morph-txt-qaa-x-aaa,mb@IR1
LM1_11.eaf,J_morph-txt-qaa-x-aaa,mb@J
LM1_11.eaf,K_morph-txt-qaa-x-aaa,mb@K
LM1_11.eaf,B_morph-txt-qaa-x-aaa,mb@LM1
LM1_11.eaf,C_phrase-segnum-en,ref@C
LM1_11.eaf,D_phrase-segnum-en,ref@D
LM1_11.eaf,E_phrase-segnum-en,ref@E
LM1_11.eaf,F_phrase-segnum-en,ref@F
