File,Original_Tier_Name,New_Tier_Name
ll-N-GWEERO-120421-NA-01.eaf,fte@A,ft@GW106
ll-N-GWEERO-120421-NA-01.eaf,fte@B,ft@UNK1
ll-N-GWEERO-120421-NA-01.eaf,ge@A,gl@GW106
ll-N-GWEERO-120421-NA-01.eaf,ge@B,gl@UNK1
ll-N-GWEERO-120421-NA-01.eaf,mb@A,mb@GW106
ll-N-GWEERO-120421-NA-01.eaf,mb@B,mb@UNK1
ll-N-GWEERO-120421-NA-01.eaf,ps@A,ps@GW106
ll-N-GWEERO-120421-NA-01.eaf,ps@B,ps@UNK1
ll-N-GWEERO-120421-NA-01.eaf,ref@A,ref@GW106
ll-N-GWEERO-120421-NA-01.eaf,ref@B,ref@UNK1
ll-N-GWEERO-120421-NA-01.eaf,ipa@A,tx@GW106
ll-N-GWEERO-120421-NA-01.eaf,ipa@B,tx@UNK1
ll-N-SOKOSO-120421-NA-01.eaf,fte@B,ft@B
ll-N-SOKOSO-120421-NA-01.eaf,fte@A,ft@SO107
ll-N-SOKOSO-120421-NA-01.eaf,ge@B,gl@B
ll-N-SOKOSO-120421-NA-01.eaf,ge@A,gl@SO107
ll-N-SOKOSO-120421-NA-01.eaf,mb@B,mb@B
ll-N-SOKOSO-120421-NA-01.eaf,mb@A,mb@SO107
ll-N-SOKOSO-120421-NA-01.eaf,ps@B,ps@B
ll-N-SOKOSO-120421-NA-01.eaf,ps@A,ps@SO107
ll-N-SOKOSO-120421-NA-01.eaf,ref@B,ref@B
ll-N-SOKOSO-120421-NA-01.eaf,ref@A,ref@SO107
ll-N-SOKOSO-120421-NA-01.eaf,ipa@B,tx@B
ll-N-SOKOSO-120421-NA-01.eaf,ipa@A,tx@S0107
ll-R-NAKASONGOLA-170224-NA-1.eaf,fte@A,ft@SK095
ll-R-NAKASONGOLA-170224-NA-1.eaf,ge@A,gl@SK095
ll-R-NAKASONGOLA-170224-NA-1.eaf,mb@A,mb@SK095
ll-R-NAKASONGOLA-170224-NA-1.eaf,ps@A,ps@SK095
ll-R-NAKASONGOLA-170224-NA-1.eaf,ref@A,ref@SK095
ll-R-NAKASONGOLA-170224-NA-1.eaf,ipa@A,tx@SK095
ll-R-NAKASONGOLA-170225-FS-1b.eaf,fte@B,ft@BC097
ll-R-NAKASONGOLA-170225-FS-1b.eaf,fte@A,ft@KA096
ll-R-NAKASONGOLA-170225-FS-1b.eaf,ge@B,gl@BC097
ll-R-NAKASONGOLA-170225-FS-1b.eaf,ge@A,gl@KA096
ll-R-NAKASONGOLA-170225-FS-1b.eaf,mb@B,mb@BC097
ll-R-NAKASONGOLA-170225-FS-1b.eaf,mb@A,mb@KA096
ll-R-NAKASONGOLA-170225-FS-1b.eaf,ps@B,ps@BC097
ll-R-NAKASONGOLA-170225-FS-1b.eaf,ps@A,ps@KA096
ll-R-NAKASONGOLA-170225-FS-1b.eaf,ref@B,ref@BC097
ll-R-NAKASONGOLA-170225-FS-1b.eaf,ref@A,ref@KA096
ll-R-NAKASONGOLA-170225-FS-1b.eaf,ipa@B,tx@BC097
ll-R-NAKASONGOLA-170225-FS-1b.eaf,ipa@A,tx@KA096
ll-R-NAKASONGOLA-190801-FS-2.eaf,fte@A,ft@ND001
ll-R-NAKASONGOLA-190801-FS-2.eaf,fte@B,ft@NH001
ll-R-NAKASONGOLA-190801-FS-2.eaf,ge@A,gl@ND001
ll-R-NAKASONGOLA-190801-FS-2.eaf,ge@B,gl@NH001
ll-R-NAKASONGOLA-190801-FS-2.eaf,mb@A,mb@ND001
ll-R-NAKASONGOLA-190801-FS-2.eaf,mb@B,mb@NH001
ll-R-NAKASONGOLA-190801-FS-2.eaf,ps@A,ps@ND001
ll-R-NAKASONGOLA-190801-FS-2.eaf,ps@B,ps@NH001
ll-R-NAKASONGOLA-190801-FS-2.eaf,ref@A,ref@ND001
ll-R-NAKASONGOLA-190801-FS-2.eaf,ref@B,ref@NH001
ll-R-NAKASONGOLA-190801-FS-2.eaf,ipa@A,tx@ND001
ll-R-NAKASONGOLA-190801-FS-2.eaf,ipa@B,tx@NH001
