i;i
e;e
u;u
a;a
iˁ;i_?\
aˁ;a_?\
uˁ;u_?\
b;b
p;p
pˀ;p_>
pˀ;p_>
m;m
w;w
l;l
lː;l:
r;r
rr;r
d;d
dd;d:
t;t
tː;t:
tˀ;t_>
tˀ;t_>
n;n
nn;n:
s;s
sː;s:
z;z
c;ts
cː;t:s
cˀ;ts_>
cˀ;ts_>
č;tS
čː;t:S
čˀ;tS_>
čˀ;tS_>
š;S
šː;S:
ž;Z
j;j
g;g
k;k
kː;k:
kˀ;k_>
kˀ;k_>
kʷ;k_w
kːʷ;k:_w
kˀʷ;k_w_>
kˀʷ;k_w_>
x;x
xː;x:
χ;X
χʷ;X_w
χː;X:
χːʷ;X:_w
q;q
qː;q:
qˀ;q_>
qˀ;q_>
ʁ;R
ħ;X\
ʡ;>\
ʕ;>\
h;h
ʔ;?

%%% Cyrillic %%%
и;i
э;e
у;u
а;a
е;e
и1;i_?\
я;a_?\
а1;a_?\
у1;u_?\
ю;u_?\
б;b
п;p
п1;p_>
м;m
в;w
л;l
лл;l:
лː;l:
р;r
рр;r
д;d
дд;d:
т;t
тт;t:
тː;t:
т1;t_>
н;n
нн;n:
с;s
сс;s:
сː;s:
з;z
ц;ts
цц;t:s
цː;t:s
ц1;ts_>
ч;tS
чː;t:S
чч;t:S
ч1;tS_>
ш;S
шш;S:
щ;S:
шː;S:
ж;Z
й;j
г;g
к;k
кк;k:
кː;k:
к1;k_>
к1в;k_w_>
кв;k_w
ккв;k:_w
кːв;k:_w
хь;x
хьхь;x:
х;X
хх;X:
хв;X_w
ххв;X:_w
къ;q:
кь;q_>
хъ;q
гъ;R
х1;X\
г1;>\
гь;h
ъ;?

%%% Sounds from Russian %%%
o;o
о;o
f;f
ф;f
y;j
ы;1
ё;j o
