a;a
aa;a:
e;E
ee;E:
ê;E
êê;E:
i;i
ii;i:
ó;O
o;O
oo;O:
u;u
uu;u:
ä;@
ää;@:
ʔ;? 
b;b
d;d
dy;d_j
f;f
g;g
ch;tS
sh;S
j;h
k;k
kk;k:
l;l
m;m
ñ;J
n;n
ŋ;N
p;p
r;4
s;s
tz;ts
t;t
w;w
y;j
z;z

%%% Assimilation rules %%%
mp;m b
np;m b
ntz;n dz
nt;n d
nch;n dZ
nk;N g
nsh;Z
ns;z

%%% Nasalization rules %%%
nʔyaa;? j~ a:~
nʔyee;? j~ E:~
nʔyii;? j~ i:~
nʔyoo;? j~ O:~
nʔyuu;? j~ u:~
nʔyää;? j~ @:~
nʔya;? j~ a~
nʔye;? j~ E~
nʔyi;? j~ i~
nʔyo;? j~ O~
nʔyu;? j~ u~
nʔyä;? j~ @~
nʔaa;? a:~
nʔee;? E:~
nʔii;? i:~
nʔoo;? O:~
nʔuu;? u:~
nʔää;? @:~
nʔa;? a~
nʔe;? E~
nʔi;? i~
nʔo;? O~
nʔu;? u~
nʔä;? @~
nʔjaa;? h~ a:~
nʔjee;? h~ E:~
nʔjii;? h~ i:~
nʔjoo;? h~ O:~
nʔjuu;? h~ u:~
nʔjää;? h~ @:~
nʔja;? h~ a~
nʔje;? h~ E~
nʔji;? h~ i~
nʔjo;? h~ O~
nʔju;? h~ u~
nʔjä;? h~ @~
nʔjyaa;? h~ j~ a:~
nʔjyee;? h~ j~ E:~
nʔjyii;? h~ j~ i:~
nʔjyoo;? h~ j~ O:~
nʔjyuu;? h~ j~ u:~
nʔjyää;? h~ j~ @:~
nʔjya;? h~ j~ a~
nʔjye;? h~ j~ E~
nʔjyi;? h~ j~ i~
nʔjyo;? h~ j~ O~
nʔjyu;? h~ j~ u~
nʔjyä;? h~ j~ @~
njyaa;h~ j~ a:~
njyee;h~ j~ E:~
njyii;h~ j~ i:~
njyoo;h~ j~ O:~
njyuu;h~ j~ u:~
njyää;h~ j~ @:~
njya;h~ j~ a~
njye;h~ j~ E~
njyi;h~ j~ i~
njyo;h~ j~ O~
njyu;h~ j~ u~
njyä;h~ j~ @~
nyaa;j~ a:~
nyee;j~ E:~
nyii;j~ i:~
nyoo;j~ O:~
nyuu;j~ u:~
nyää;j~ @:~
nya;j~ a~
nye;j~ E~
nyi;j~ i~
nyo;j~ O~
nyu;j~ u~
nyä;j~ @~
nwyaa;w~ j~ a:~
nwyee;w~ j~ E:~
nwyii;w~ j~ i:~
nwyoo;w~ j~ O:~
nwyuu;w~ j~ u:~
nwyää;w~ j~ @:~
nwya;w~ j~ a~
nwye;w~ j~ E~
nwyi;w~ j~ i~
nwyo;w~ j~ O~
nwyu;w~ j~ u~
nwyä;w~ j~ @~
nwaa;w~ a:~
nwee;w~ E:~
nwii;w~ i:~
nwoo;w~ O:~
nwuu;w~ u:~
nwää;w~ @:~
nwa;w~ a~
nwe;w~ E~
nwi;w~ i~
nwo;w~ O~
nwu;w~ u~
nwä;w~ @~

%%% Spanish material %%%
á;a
é;E
í;i
ó;O
ú;u
rr;r
entonse;E n t O N s E
