File,Original_Tier_Name,New_Tier_Name
T01.eaf,A_phrase-gls-en,ft@LJI
T01.eaf,A_morph-gls-en,gl@LJI
T01.eaf,A_morph-txt-trn,mb@LJI
T01.eaf,A_morph-msa-en,ps@LJI
T01.eaf,A_phrase-Toolbox Reference-en,ref@LJI
T01.eaf,A_phrase-segnum-en,ref@LJI
T01.eaf,interlinear-text-title-abbreviation-en,ref@NONE
T01.eaf,A_word-txt-trn,wd@LJI
T02.eaf,A_phrase-gls-en,ft@LJI
T02.eaf,A_morph-gls-en,gl@LJI
T02.eaf,A_morph-txt-trn,mb@LJI
T02.eaf,A_morph-msa-en,ps@LJI
T02.eaf,A_phrase-Toolbox Reference-en,ref@LJI
T02.eaf,A_phrase-segnum-en,ref@LJI
T02.eaf,interlinear-text-title-abbreviation-en,ref@NONE
T02.eaf,A_word-txt-trn,wd@LJI
T06.eaf,A_phrase-gls-en,ft@LJI
T06.eaf,A_morph-gls-en,gl@LJI
T06.eaf,A_morph-txt-trn,mb@LJI
T06.eaf,A_morph-msa-en,ps@LJI
T06.eaf,A_phrase-Toolbox Reference-en,ref@LJI
T06.eaf,A_phrase-segnum-en,ref@LJI
T06.eaf,interlinear-text-title-abbreviation-en,ref@NONE
T06.eaf,A_word-txt-trn,wd@LJI
T07.eaf,A_phrase-gls-en,ft@G
T07.eaf,P_phrase-gls-en,ft@PMY
T07.eaf,A_morph-gls-en,gl@G
T07.eaf,P_morph-gls-en,gl@PMY
T07.eaf,A_morph-txt-trn,mb@G
T07.eaf,P_morph-txt-trn,mb@PMY
T07.eaf,A_morph-msa-en,ps@G
T07.eaf,P_morph-msa-en,ps@PMY
T07.eaf,A_phrase-Toolbox Reference-en,ref@G
T07.eaf,A_phrase-segnum-en,ref@G
T07.eaf,interlinear-text-title-abbreviation-en,ref@NONE
T07.eaf,P_phrase-segnum-en,ref@PMY
T07.eaf,P_phrase-Toolbox Reference-en,ref@PMY
T07.eaf,A_word-txt-trn,wd@G
T07.eaf,P_word-txt-trn,wd@PMY
T08.eaf,A_phrase-gls-en,ft@EIN
T08.eaf,A_morph-gls-en,gl@EIN
T08.eaf,A_morph-txt-trn,mb@EIN
T08.eaf,A_morph-msa-en,ps@EIN
T08.eaf,A_phrase-Toolbox Reference-en,ref@EIN
T08.eaf,A_phrase-segnum-en,ref@EIN
T08.eaf,interlinear-text-title-abbreviation-en,ref@NONE
T08.eaf,A_word-txt-trn,wd@EIN
T09.eaf,A_phrase-gls-en,ft@FGN
T09.eaf,A_morph-gls-en,gl@FGN
T09.eaf,A_morph-txt-trn,mb@FGN
T09.eaf,A_morph-msa-en,ps@FGN
T09.eaf,A_phrase-Toolbox Reference-en,ref@FGN
T09.eaf,A_phrase-segnum-en,ref@FGN
T09.eaf,interlinear-text-title-abbreviation-en,ref@NONE
T09.eaf,A_word-txt-trn,wd@FGN
T10.eaf,A_phrase-gls-en,ft@PFN
T10.eaf,A_morph-gls-en,gl@PFN
T10.eaf,A_morph-txt-trn,mb@PFN
T10.eaf,A_morph-msa-en,ps@PFN
T10.eaf,interlinear-text-title-abbreviation-en,ref@NONE
T10.eaf,A_phrase-Toolbox Reference-en,ref@PFN
T10.eaf,A_phrase-segnum-en,ref@PFN
T10.eaf,A_word-txt-trn,wd@PFN
T11.eaf,A_phrase-gls-en,ft@EIN
T11.eaf,A_morph-gls-en,gl@EIN
T11.eaf,A_morph-txt-trn,mb@EIN
T11.eaf,A_morph-msa-en,ps@EIN
T11.eaf,A_phrase-Toolbox Reference-en,ref@EIN
T11.eaf,A_phrase-segnum-en,ref@EIN
T11.eaf,interlinear-text-title-abbreviation-en,ref@NONE
T11.eaf,A_word-txt-trn,wd@EIN
T12.eaf,A_phrase-gls-en,ft@ANM
