File,Original_Tier_Name,New_Tier_Name
IGS0229_2015-12-21_GG_1.eaf,Swahili,ft@GG
IGS0229_2015-12-21_GG_1.eaf,Asmjeeg,tx@GG
IGS0229_2015-12-21_GG_2.eaf,English,ft@GG
IGS0229_2015-12-21_GG_2.eaf,Asmjeeg,tx@GG
IGS0229_2015-12-21_GG_3.eaf,English,ft@GG
IGS0229_2015-12-21_GG_3.eaf,Asmjeeg,tx@GG
IGS0229_2017-1-25_MM_1.eaf,FT-ENG,ft@MM
IGS0229_2017-1-25_MM_1.eaf,REF,ref@MM
IGS0229_2017-1-25_MM_1.eaf,Orthography,tx@MM
IGS0229_2017-1-25_MM_10.eaf,FT-ENG,ft@MM
IGS0229_2017-1-25_MM_10.eaf,REF,ref@MM
IGS0229_2017-1-25_MM_10.eaf,Orthography,tx@MM
IGS0229_2017-1-25_MM_2.eaf,FT-ENG,ft@MM
IGS0229_2017-1-25_MM_2.eaf,REF,ref@MM
IGS0229_2017-1-25_MM_2.eaf,Orthographic Transcription,tx@MM
IGS0229_2017-1-25_MM_3.eaf,FT-ENG,ft@MM
IGS0229_2017-1-25_MM_3.eaf,REF,ref@MM
IGS0229_2017-1-25_MM_3.eaf,Orthographic Transcription,tx@MM
IGS0229_2017-1-25_MM_4.eaf,FT-ENG,ft@MM
IGS0229_2017-1-25_MM_4.eaf,REF,ref@MM
IGS0229_2017-1-25_MM_4.eaf,Orthographic Transcription,tx@MM
IGS0229_2017-1-25_MM_5.eaf,FT-ENG,ft@MM
IGS0229_2017-1-25_MM_5.eaf,REF,ref@MM
IGS0229_2017-1-25_MM_5.eaf,Orthographic Transcription,tx@MM
IGS0229_2017-1-25_MM_6.eaf,FT-ENG,ft@MM
IGS0229_2017-1-25_MM_6.eaf,REF,ref@MM
IGS0229_2017-1-25_MM_6.eaf,Orthographic Transcription,tx@MM
IGS0229_2017-1-25_MM_7.eaf,FT-ENG,ft@MM
IGS0229_2017-1-25_MM_7.eaf,REF,ref@MM
IGS0229_2017-1-25_MM_7.eaf,Orthographic Transcription,tx@MM
IGS0229_2017-1-25_MM_8.eaf,FT-ENG,ft@MM
IGS0229_2017-1-25_MM_8.eaf,REF,ref@MM
IGS0229_2017-1-25_MM_8.eaf,Orthographic Transcription,tx@MM
IGS0229_2017-1-25_MM_9.eaf,FT-ENG,ft@MM
IGS0229_2017-1-25_MM_9.eaf,REF,ref@MM
IGS0229_2017-1-25_MM_9.eaf,Orthographic Transcription,tx@MM
IGS0229_2017-3-10_1.eaf,FT-ENG,ft@WQ
IGS0229_2017-3-10_1.eaf,REF,ref@WQ
IGS0229_2017-3-10_1.eaf,Orthographic Transcription,tx@WQ
IGS0229_2017-3-10_10.eaf,FT-ENG,ft@GB
IGS0229_2017-3-10_10.eaf,REF,ref@GB
IGS0229_2017-3-10_10.eaf,Transcription,tx@GB
IGS0229_2017-3-10_11.eaf,FT-ENG,ft@UG
IGS0229_2017-3-10_11.eaf,REF,ref@UG
IGS0229_2017-3-10_11.eaf,Transcription,tx@UG
IGS0229_2017-3-10_12.eaf,FT-ENG,ft@UG
IGS0229_2017-3-10_12.eaf,REF,ref@UG
IGS0229_2017-3-10_12.eaf,Transcription,tx@UG
IGS0229_2017-3-10_13.eaf,FT-ENG,ft@UB
IGS0229_2017-3-10_13.eaf,REF,ref@UB
IGS0229_2017-3-10_13.eaf,Transcription,tx@UB
IGS0229_2017-3-10_14.eaf,FT-ENG,ft@UB
IGS0229_2017-3-10_14.eaf,REF,ref@UB
IGS0229_2017-3-10_14.eaf,Transcription,tx@UB
IGS0229_2017-3-10_2.eaf,FT-ENG,ft@WQ
IGS0229_2017-3-10_2.eaf,REF,ref@WQ
IGS0229_2017-3-10_2.eaf,Transcription,tx@WQ
IGS0229_2017-3-10_3.eaf,FT-ENG,ft@WQ
IGS0229_2017-3-10_3.eaf,REF,ref@WQ
IGS0229_2017-3-10_3.eaf,Transcription,tx@WQ
IGS0229_2017-3-10_4.eaf,FT-ENG,ft@MQ
IGS0229_2017-3-10_4.eaf,REF,ref@MQ
IGS0229_2017-3-10_4.eaf,Transcription,tx@MQ
IGS0229_2017-3-10_5.eaf,FT-ENG,ft@MQ
IGS0229_2017-3-10_5.eaf,REF,ref@MQ
IGS0229_2017-3-10_5.eaf,Transcription,tx@MQ
IGS0229_2017-3-10_6.eaf,FT-ENG,ft@GG
IGS0229_2017-3-10_6.eaf,REF,ref@GG
IGS0229_2017-3-10_6.eaf,Transcription,tx@GG
IGS0229_2017-3-10_8.eaf,FT-ENG,ft@GB
IGS0229_2017-3-10_8.eaf,REF,ref@GB
IGS0229_2017-3-10_8.eaf,Transcription,tx@GB
IGS0229_2017-3-10_9.eaf,FT-ENG,ft@GB
IGS0229_2017-3-10_9.eaf,REF,ref@GB
IGS0229_2017-3-10_9.eaf,Transcription,tx@GB
IGS0229_2017-3-14_18.eaf,FT-ENG,ft@GG
IGS0229_2017-3-14_18.eaf,REF,ref@GG
IGS0229_2017-3-14_18.eaf,Transcription,tx@GG
IGS0229_2017-3-14_19.eaf,FT-ENG,ft@GG
IGS0229_2017-3-14_19.eaf,REF,ref@GG
IGS0229_2017-3-14_19.eaf,Transcription,tx@GG
IGS0229_2017-3-3_11.eaf,FT-ENG,ft@BG
IGS0229_2017-3-3_11.eaf,REF,ref@BG
IGS0229_2017-3-3_11.eaf,Transcription,tx@BG
IGS0229_2017-3-3_12.eaf,FT-ENG,ft@BG
IGS0229_2017-3-3_12.eaf,REF,ref@BG
IGS0229_2017-3-3_12.eaf,Transcription,tx@BG
IGS0229_2017-3-8_11.eaf,FT-ENG,ft@BG
IGS0229_2017-3-8_11.eaf,REF,ref@BG
IGS0229_2017-3-8_11.eaf,Transcription,tx@BG
IGS0229_2017-3-8_17.eaf,FT-ENG,ft@JMM
IGS0229_2017-3-8_17.eaf,REF,ref@JMM
IGS0229_2017-3-8_17.eaf,Transcription,tx@JMM
IGS0229_2017-3-8_18.eaf,FT-ENG,ft@GW
IGS0229_2017-3-8_18.eaf,REF,ref@GW
IGS0229_2017-3-8_18.eaf,Transcription,tx@GW
IGS0229_2017-3-8_2.eaf,FT-ENG,ft@WQ
IGS0229_2017-3-8_2.eaf,REF,ref@WQ
IGS0229_2017-3-8_2.eaf,Transcription,tx@WQ
IGS0229_2017-3-8_20.eaf,FT-ENG,ft@DQ
IGS0229_2017-3-8_20.eaf,REF,ref@DQ
IGS0229_2017-3-8_20.eaf,Transcription,tx@DQ
IGS0229_2017-3-8_21.eaf,FT-ENG,ft@DQ
