File,Original_Tier_Name,New_Tier_Name
veraa_anv.eaf,utterance_translation,ft@VR01
veraa_anv.eaf,gloss_mtok,gl@VR01
veraa_anv.eaf,grammatical_words_mtok,mb@VR01
veraa_anv.eaf,graid,ps@VR01
veraa_anv.eaf,utterance_id,ref@VR01
veraa_anv.eaf,utterance,tx@VR01
veraa_anv.eaf,grammatical_words,wd@VR01
veraa_as1.eaf,utterance_translation,ft@VR02
veraa_as1.eaf,gloss_mtok,gl@VR02
veraa_as1.eaf,grammatical_words_mtok,mb@VR02
veraa_as1.eaf,graid,ps@VR02
veraa_as1.eaf,utterance_id,ref@VR02
veraa_as1.eaf,utterance,tx@VR02
veraa_as1.eaf,grammatical_words,wd@VR02
veraa_gabg.eaf,utterance_translation,ft@VR03
veraa_gabg.eaf,gloss_mtok,gl@VR03
veraa_gabg.eaf,grammatical_words_mtok,mb@VR03
veraa_gabg.eaf,graid,ps@VR03
veraa_gabg.eaf,utterance_id,ref@VR03
veraa_gabg.eaf,utterance,tx@VR03
veraa_gabg.eaf,grammatical_words,wd@VR03
veraa_gaqg.eaf,utterance_translation,ft@VR04
veraa_gaqg.eaf,gloss_mtok,gl@VR04
veraa_gaqg.eaf,grammatical_words_mtok,mb@VR04
veraa_gaqg.eaf,graid,ps@VR04
veraa_gaqg.eaf,utterance_id,ref@VR04
veraa_gaqg.eaf,utterance,tx@VR04
veraa_gaqg.eaf,grammatical_words,wd@VR04
veraa_hhak.eaf,utterance_translation,ft@VR05
veraa_hhak.eaf,gloss_mtok,gl@VR05
veraa_hhak.eaf,grammatical_words_mtok,mb@VR05
veraa_hhak.eaf,graid,ps@VR05
veraa_hhak.eaf,utterance_id,ref@VR05
veraa_hhak.eaf,utterance,tx@VR05
veraa_hhak.eaf,grammatical_words,wd@VR05
veraa_isam.eaf,utterance_translation,ft@VR06
veraa_isam.eaf,gloss_mtok,gl@VR06
veraa_isam.eaf,grammatical_words_mtok,mb@VR06
veraa_isam.eaf,graid,ps@VR06
veraa_isam.eaf,utterance_id,ref@VR06
veraa_isam.eaf,utterance,tx@VR06
veraa_isam.eaf,grammatical_words,wd@VR06
veraa_iswm.eaf,utterance_translation,ft@VR07
veraa_iswm.eaf,gloss_mtok,gl@VR07
veraa_iswm.eaf,grammatical_word_mtok,mb@VR07
veraa_iswm.eaf,graid,ps@VR07
veraa_iswm.eaf,utterance_id,ref@VR07
veraa_iswm.eaf,utterance,tx@VR07
veraa_iswm.eaf,grammatical_words,wd@VR07
veraa_jjq.eaf,utterance_translation,ft@VR08
veraa_jjq.eaf,gloss_mtok,gl@VR08
veraa_jjq.eaf,grammatical_words_mtok,mb@VR08
veraa_jjq.eaf,graid,ps@VR08
veraa_jjq.eaf,utterance_id,ref@VR08
veraa_jjq.eaf,utterance,tx@VR08
veraa_jjq.eaf,grammatical_words,wd@VR08
veraa_mvbw.eaf,utterance_translation,ft@VR09
veraa_mvbw.eaf,gloss_mtok,gl@VR09
veraa_mvbw.eaf,grammatical_words_mtok,mb@VR09
veraa_mvbw.eaf,graid,ps@VR09
veraa_mvbw.eaf,utterance_id,ref@VR09
veraa_mvbw.eaf,utterance,tx@VR09
veraa_mvbw.eaf,grammatical_words,wd@VR09
veraa_palaa.eaf,utterance_translation,ft@VR10
veraa_palaa.eaf,gloss_mtok,gl@VR10
veraa_palaa.eaf,grammatical_words_mtok,mb@VR10
veraa_palaa.eaf,graid,ps@VR10
veraa_palaa.eaf,utterance_id,ref@VR10
veraa_palaa.eaf,utterance,tx@VR10
veraa_palaa.eaf,grammatical_words,wd@VR10
veraa_palab.eaf,utterance_translation,ft@VR10
veraa_palab.eaf,gloss_mtok,gl@VR10
veraa_palab.eaf,grammatical_words_mtok,mb@VR10
veraa_palab.eaf,graid,ps@VR10
veraa_palab.eaf,utterance_id,ref@VR10
veraa_palab.eaf,utterance,tx@VR10
veraa_palab.eaf,grammatical_words,wd@VR10
