File,Original_Tier_Name,New_Tier_Name
crdo-NRU_F4_10_AGRICULTURAL_ACTIVITIES.eaf,S-0-fr,ft@DL
crdo-NRU_F4_10_AGRICULTURAL_ACTIVITIES.eaf,S-0,tx@DL
crdo-NRU_F4_35_DOG_WITH_EGG.eaf,S-ortho-fr,ft@DL
crdo-NRU_F4_35_DOG_WITH_EGG.eaf,S-phono,tx@DL
crdo-NRU_F4_36_TIGER_WITH_EGG.eaf,S-0-fr,ft@DL
crdo-NRU_F4_36_TIGER_WITH_EGG.eaf,S-0,tx@DL
crdo-NRU_F4_BURIEDALIVE2.eaf,S-0-fr,ft@DL
crdo-NRU_F4_BURIEDALIVE2.eaf,S-0,tx@DL
crdo-NRU_F4_BURIEDALIVE3.eaf,S-0-fr,ft@DL
crdo-NRU_F4_BURIEDALIVE3.eaf,S-0,tx@DL
crdo-NRU_F4_CARAVANS.eaf,S-0-fr,ft@DL
crdo-NRU_F4_CARAVANS.eaf,S-0,tx@DL
crdo-NRU_F4_COMING_OF_AGE2.eaf,S-phonemic-fr,ft@DL
crdo-NRU_F4_COMING_OF_AGE2.eaf,S-phonemic,tx@DL
crdo-NRU_F4_DOG2.eaf,S-0-fr,ft@DL
crdo-NRU_F4_DOG2.eaf,S-0,tx@DL
crdo-NRU_F4_ELDERS3.eaf,S-0-fr,ft@DL
crdo-NRU_F4_ELDERS3.eaf,S-0,tx@DL
crdo-NRU_F4_FOOD_SHORTAGE.eaf,S-0-fr,ft@DL
crdo-NRU_F4_FOOD_SHORTAGE.eaf,S-0,tx@DL
crdo-NRU_F4_FOOD_SHORTAGE2.eaf,S-phonemic-fr,ft@DL
crdo-NRU_F4_FOOD_SHORTAGE2.eaf,S-phonemic,tx@DL
crdo-NRU_F4_FUNERAL.eaf,S-0-fr,ft@DL
crdo-NRU_F4_FUNERAL.eaf,S-0,tx@DL
crdo-NRU_F4_HEALING.eaf,S-0-fr,ft@DL
crdo-NRU_F4_HEALING.eaf,S-0,tx@DL
crdo-NRU_F4_HOUSEBUILDING.eaf,S-ortho-fr,ft@DL
crdo-NRU_F4_HOUSEBUILDING.eaf,S-phono,tx@DL
crdo-NRU_F4_HOUSEBUILDING2.eaf,S-phonemic-fr,ft@DL
crdo-NRU_F4_HOUSEBUILDING2.eaf,S-phonemic,tx@DL
crdo-NRU_F4_MOUNTAINS.eaf,S-0-fr,ft@DL
crdo-NRU_F4_MOUNTAINS.eaf,S-0,tx@DL
crdo-NRU_F4_MUSHROOMS.eaf,S-phonemic-fr,ft@DL
crdo-NRU_F4_MUSHROOMS.eaf,S-phonemic,tx@DL
crdo-NRU_F4_RENAMING.eaf,S-0-fr,ft@DL
crdo-NRU_F4_RENAMING.eaf,S-0,tx@DL
crdo-NRU_F4_REWARD.eaf,S-0-fr,ft@DL
crdo-NRU_F4_REWARD.eaf,S-0,tx@DL
crdo-NRU_F4_SEEDS.eaf,S-phonemic-fr,ft@DL
crdo-NRU_F4_SEEDS.eaf,S-phonemic,tx@DL
crdo-NRU_F4_SEEDS2.eaf,S-0-fr,ft@DL
crdo-NRU_F4_SEEDS2.eaf,S-0,tx@DL
crdo-NRU_F4_TIGER2.eaf,S-0-fr,ft@DL
crdo-NRU_F4_TIGER2.eaf,S-0,tx@DL
crdo-NRU_F4_TRADER_AND_HIS_SON.eaf,S-phonemic-fr,ft@DL
crdo-NRU_F4_TRADER_AND_HIS_SON.eaf,S-phonemic,tx@DL
crdo-NRU_MARIAGE_DE_LA_SOEUR_V1.eaf,S-ortho-fr,ft@DL
crdo-NRU_MARIAGE_DE_LA_SOEUR_V1.eaf,S-phono,tx@DL
crdo-NRU_MARIAGE_DE_LA_SOEUR_V3.eaf,S-0-fr,ft@DL
crdo-NRU_MARIAGE_DE_LA_SOEUR_V3.eaf,S-0,tx@DL
crdo-NRU_NAISSANCE_DU_LAC_V3.eaf,S-ortho-fr,ft@DL
crdo-NRU_NAISSANCE_DU_LAC_V3.eaf,S-phono,tx@DL
crdo-NRU_Naissance_du_Lac_V4.eaf,S-0-fr,ft@DL
crdo-NRU_Naissance_du_Lac_V4.eaf,S-0,tx@DL
