ɑ;A
bɑ;b A
pɑ;p A
pʰɑ;p_h A
mɑ;m A
dɑ;d A
tɑ;t A
tʰɑ;t_h A
dzɑ;dz A
tsɑ;ts A
tsʰɑ;ts_h A
zɑ;z A
sɑ;s A
nɑ;n A
lɑ;l A
ɬɑ;K A
qɑ;q A
qʰɑ;q_h A
ʁɑ;R A
ɖʐɑ;dz` A
ʈʂɑ;ts` A
ʈʂʰɑ;ts`_h A
fɑ;f A
hɑ;h A
hɑ̃;h A~
æ;{
bæ;b {
pæ;p {
pʰæ;p_h {
mæ;m {
dæ;d {
ɖæ;d` {
tæ;t {
ʈæ;t` {
tʰæ;t_h {
ʈʰæ;t`_h {
dzæ;dz {
tsæ;ts {
tsʰæ;ts_h {
zæ;z {
sæ;s {
næ;n {
ɳæ;J {
læ;l {
ɬæ;K {
ɻæ;r\` {
dʑæ;dz\ {
tɕæ;ts\ {
tɕʰæ;ts\_h {
njæ;n j {
gæ;g {
kæ;k {
kʰæ;k_h {
qæ;q {
qʰæ;q_h {
ʁæ;R {
wæ;w {
ʐæ;z` {
ʂæ;s` {
ɖʐæ;dz` {
ʈʂæ;ts` {
ʈʂʰæ;ts`_h {
fæ;f {
hæ;h {
æ̃;{~
hæ̃;h {~
ə;@
ɤ;7
bɤ;b 7
pɤ;p 7
pʰɤ;p_h 7
mɤ;m 7
dɤ;d 7
ɖɤ;d` 7
tɤ;t 7
ʈɤ;t` 7
tʰɤ;t_h 7
ʈʰɤ;t`_h 7
dzɤ;dz 7
tsɤ;ts 7
tsʰɤ;ts_h 7
zɤ;z 7
sɤ;s 7
lɤ;l 7
dʑɤ;dz\ 7
tɕɤ;ts\ 7
tɕʰɤ;ts\_h 7
ɕjɤ;s\ j 7
jɤ;j 7
gɤ;g 7
kɤ;k 7
kʰɤ;k_h 7
ŋɤ;N 7
ʐɤ;z` 7
ʂɤ;s` 7
ɖʐɤ;dz` 7
ʈʂɤ;ts` 7
ʈʂʰɤ;ts`_h 7
fɤ;f 7
hɤ;h 7
ɖɯ;d` M
ʈɯ;t` M
ʈʰɯ;t`_h M
dzɯ;dz M
tsɯ;ts M
tsʰɯ;ts_h M
zɯ;z M
sɯ;s M
ɳɯ;J M
ɭɯ;l` M
dʑɯ;dz\ M
tɕɯ;ts\ M
tɕʰɯ;ts\_h M
ʑɯ;z\ M
ɕɯ;s\ M
gɯ;g M
kɯ;k M
kʰɯ;k_h M
ɳɯ;J M
ɣɯ;G M
ʐɯ;z` M
ʂɯ;s` M
ɖʐɯ;dz` M
ʈʂɯ;ts` M
ʈʂʰɯ;ts`_h M
hɯ;h M
be;b e
pe;p e
pʰe;p_h e
dze;dz e
tse;ts e
